parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25413400404243,0.353874257515967,0.538691707482806,0.726003190798966,0.844303437340095
b_scaletotal_load,0.95,0.8,median,-0.0895803545896595,-0.0621051727873119,-0.00333137221522241,0.0503092033554665,0.086595717808816
b_age_catyearling,0.95,0.8,median,-1.46763338023998,-1.4135294435283,-1.31012997173887,-1.20760922318621,-1.15647496123241
sd_site__Intercept,0.95,0.8,median,0.00351357437251854,0.0142012786677508,0.0766773128364254,0.230561534527263,0.394475904290898
sd_site:id__Intercept,0.95,0.8,median,0.189798901748854,0.24435054279904,0.327747900481231,0.399559563771724,0.437083551794573
sd_year__Intercept,0.95,0.8,median,0.197703948206208,0.246087611478323,0.352289772278915,0.530779188892249,0.678240225048981
sigma,0.95,0.8,median,0.60635740687035,0.621022634291283,0.659227933774028,0.703273931560632,0.726360073594466
r_site[KUM,Intercept],0.95,0.8,median,-0.169572835779517,-0.0772490229235166,0.00151318248121432,0.0971358507715073,0.180372975628072
r_site[LEH,Intercept],0.95,0.8,median,-0.263417246458805,-0.134186573483541,-0.00977869888803715,0.060678586724474,0.131729315989975
r_site[NYR,Intercept],0.95,0.8,median,-0.22568213900203,-0.128961150108494,-0.0151872728714467,0.0471588908230954,0.122998093557622
r_site[SAA,Intercept],0.95,0.8,median,-0.258307804541793,-0.138585969762774,-0.0092687711774577,0.060899978393023,0.12824277144861
r_site[TEE,Intercept],0.95,0.8,median,-0.0722169723040249,-0.0220148944687126,0.0411227902342784,0.21753505660525,0.321383321349026
r_site:id[KUM_D211341,Intercept],0.95,0.8,median,-0.966479599917158,-0.75401409814752,-0.366225546359621,-0.0234986714018783,0.179056690718447
r_site:id[KUM_D211374,Intercept],0.95,0.8,median,-0.691031275646185,-0.501601374047353,-0.135100182973225,0.189621420385189,0.354606121386832
r_site:id[KUM_D211376,Intercept],0.95,0.8,median,-0.561019272246096,-0.400280210047591,-0.0549323498799014,0.273825260444477,0.459884311430561
r_site:id[KUM_D211385,Intercept],0.95,0.8,median,-0.516303902105378,-0.333467297962228,-0.0393087872120271,0.253330265937679,0.427813478616522
r_site:id[KUM_D211401,Intercept],0.95,0.8,median,-0.573140667996824,-0.394659917306436,-0.00643988501610175,0.355208520774672,0.573317697001351
r_site:id[KUM_D211403,Intercept],0.95,0.8,median,-0.49476949552743,-0.287846230770411,0.0608012100132324,0.443390413605489,0.673989281631536
r_site:id[KUM_D211435,Intercept],0.95,0.8,median,-0.537516631001718,-0.36817858490662,-0.0295593655939174,0.31018187665256,0.496925053293274
r_site:id[KUM_D211438,Intercept],0.95,0.8,median,-0.427697485697977,-0.280303851273519,-0.00305565672964731,0.313185659196597,0.475958578249203
r_site:id[KUM_D211450,Intercept],0.95,0.8,median,-0.631392275024997,-0.466676648015962,-0.102086459828029,0.23043780499329,0.416370782904182
r_site:id[KUM_D211456,Intercept],0.95,0.8,median,-0.59104041175725,-0.392784675617223,-0.0157171422720243,0.328891958038009,0.541225902589276
r_site:id[KUM_D211474,Intercept],0.95,0.8,median,-0.0464683102878615,0.105091654780351,0.425006159248581,0.769783116188974,0.954327164359145
r_site:id[KUM_D211478,Intercept],0.95,0.8,median,-0.0923643834706896,0.0747780264143111,0.422954846218296,0.784842393190216,0.965024924039709
r_site:id[KUM_D211482,Intercept],0.95,0.8,median,-0.749677258772809,-0.542271025403291,-0.166999644836137,0.173971685014004,0.345948775410017
r_site:id[KUM_D217818,Intercept],0.95,0.8,median,-0.701866936192989,-0.510706303024581,-0.1157875602042,0.203042128493872,0.384671269205078
r_site:id[KUM_D217896,Intercept],0.95,0.8,median,-0.294254373612828,-0.105401531894398,0.200254312541452,0.536003744681475,0.735348112700575
r_site:id[KUM_D217897,Intercept],0.95,0.8,median,-0.436801280244027,-0.282729531491702,0.0363417130586682,0.34311809338459,0.531594274408066
r_site:id[KUM_D217932,Intercept],0.95,0.8,median,-0.595239875402397,-0.356865063745465,0.00849250862793391,0.370980623699099,0.591648218355013
r_site:id[KUM_D217969,Intercept],0.95,0.8,median,-0.556466609041091,-0.390362486110326,-0.0461365943838293,0.284739179947819,0.482503586606939
r_site:id[KUM_D217977,Intercept],0.95,0.8,median,-0.324453742371827,-0.161595794506871,0.162840156046754,0.534487359603927,0.803960679274917
r_site:id[KUM_D229025,Intercept],0.95,0.8,median,-0.516875870580972,-0.323901713885671,0.0141568400837202,0.351514111499178,0.538691507887731
r_site:id[KUM_D229043,Intercept],0.95,0.8,median,-0.448041112590168,-0.275359907618338,0.0893462654590547,0.441203410297712,0.659894849502689
r_site:id[KUM_D229126,Intercept],0.95,0.8,median,-0.498893819139128,-0.30572275731985,0.00919588324690353,0.365546300366659,0.535965627298983
r_site:id[KUM_D229164,Intercept],0.95,0.8,median,-0.637415672356319,-0.420664535767007,-0.0479728020307477,0.328579742715344,0.521916941259238
r_site:id[KUM_D229165,Intercept],0.95,0.8,median,-0.0635233365549419,0.113225878382523,0.444166579686646,0.829616156419895,0.994987520694629
r_site:id[KUM_D229167,Intercept],0.95,0.8,median,-0.486095530173646,-0.314522517491856,-0.0182949544300305,0.27677529848025,0.426309425121832
r_site:id[KUM_D229192,Intercept],0.95,0.8,median,-0.505247026019382,-0.301949102686491,0.0320763832764253,0.368352684854201,0.538609448431424
